area,id,lat,lon,radius_km
Area39,S35,37.207201,-104.885596,300
Area39,S36,29.930880,-100.315993,300
Area39,S37,32.356321,-110.978400,300
Area39,S38,37.207201,-120.117607,300
Area39,S39,37.207201,-114.024802,300
Area39,S40,42.058081,-123.164009,300
Area39,S41,37.207201,-86.607183,300
Area39,S42,42.058081,-101.839194,300
Area39,S43,42.058081,-92.699987,300
Area39,S44,29.930880,-82.037580,300
Area39,S45,44.483521,-112.501601,300
Area39,S46,46.908962,-98.792792,300
Area39,S47,27.505440,-98.792792,300
Area39,S48,32.356321,-89.653585,300
Area39,S49,34.781761,-97.269591,300
Area39,S50,39.632641,-118.594406,300
Area39,S51,39.632641,-82.037580,300
Area39,S52,44.483521,-72.898373,300
Area39,S53,46.908962,-123.164009,300
Area39,S54,46.908962,-89.653585,300
Area39,S55,29.930880,-103.362395,300
Area39,S56,34.781761,-91.176786,300
Area39,S57,37.207201,-98.792792,300
Area39,S58,37.207201,-77.467976,300
Area39,S59,42.058081,-80.514379,300
Area39,S60,19.693858,-155.561149,300
Area39,S61,57.505718,-153.458331,300
Area39,S62,66.531374,-154.808540,300
Area39,S63,61.680494,-154.808540,300
Area39,S64,66.531374,-144.166924,300
Area39,S65,68.956814,-157.468944,300
Area39,S66,61.680494,-144.166924,300
Area39,S67,61.680494,-160.129348,300
Area39,S68,59.255053,-157.468944,300
Area39,S69,68.956814,-146.827328,300
Area39,S70,66.531374,-160.129348,300
Area39,S71,61.680494,-149.487732,300
Area39,S72,59.255053,-136.185712,300
Area39,S73,68.956814,-162.789752,300
Area40,S1,24.240590,-103.890686,300
Area40,S2,29.091470,-109.185515,300
Area40,S3,19.389709,-101.243271,300
Area40,S4,24.240590,-98.595856,300
Area40,S5,29.091470,-103.890686,300
Area40,S6,16.964269,-94.624734,300
Area40,S7,19.389709,-90.653611,300
Area40,S8,29.091470,-114.480345,300
Area40,S9,19.389709,-98.595856,300
Area40,S10,26.666030,-107.861808,300
Area40,S11,21.815150,-105.214393,300
Area40,S12,26.666030,-99.919563,300
Area40,S13,31.516910,-115.804053,300
Area40,S14,16.964269,-91.977319,300
Area40,S15,19.389709,-88.006197,300
Area40,S16,26.666030,-113.156638,300
Area40,S17,31.516910,-107.861808,300
Area40,S18,16.964269,-99.919563,300
Area41,S1,4.478829,-53.309212,300
Area41,S2,47.194265,2.486803,300
Area41,S3,44.768825,4.256592,300
Area41,S4,47.194265,-1.052773,300
Area41,S5,44.768825,0.717015,300
Area41,S6,47.194265,6.026380,300
Area41,S7,49.619706,0.717015,300
Area41,S8,42.234122,8.998818,300
Area42,S1,63.504067,-134.353892,300
Area42,S2,63.504067,-103.349084,300
Area42,S3,65.929507,-118.851488,300
Area42,S4,61.078626,-123.280746,300
Area42,S5,68.354947,-129.924634,300
Area42,S6,58.653186,-112.207601,300
Area42,S7,58.653186,-98.919825,300
Area42,S8,65.929507,-92.275938,300
Area42,S9,56.227746,-70.129646,300
Area42,S10,53.802306,-125.495376,300
Area42,S11,53.802306,-116.636859,300
Area42,S12,53.802306,-107.778342,300
Area42,S13,53.802306,-94.490567,300
Area42,S14,51.376866,-74.558904,300
Area42,S15,46.525985,-78.988163,300
Area42,S16,53.802306,-63.485758,300
Area42,S17,51.376866,-87.846679,300
Area42,S18,58.653186,-129.924634,300
Area42,S19,63.504067,-112.207601,300
Area42,S20,51.376866,-101.134455,300
Area42,S21,61.078626,-74.558904,300
Area42,S22,68.354947,-107.778342,300
Area42,S23,46.525985,-70.129646,300
Area42,S24,48.951426,-81.202792,300
Area42,S25,51.376866,-118.851488,300
Area42,S26,58.653186,-121.066117,300
Area42,S27,68.354947,-90.061309,300
Area42,S28,51.376866,-65.700388,300
Area42,S29,53.802306,-85.632050,300
Area42,S30,51.376866,-109.992971,300
Area42,S31,56.227746,-101.134455,300
Area42,S32,56.227746,-74.558904,300
Area42,S33,68.354947,-138.783151,300
Area42,S34,48.951426,-94.490567,300
Area42,S35,61.078626,-96.705196,300
Area42,S36,58.653186,-107.778342,300
Area42,S37,61.078626,-136.568522,300
Area42,S38,63.504067,-125.495376,300
Area42,S39,53.802306,-59.056500,300
Area42,S40,56.227746,-92.275938,300
Area42,S41,56.227746,-65.700388,300
Area42,S42,68.354947,-121.066117,300
Area42,S43,44.100545,-76.773533,300
Area42,S44,46.525985,-65.700388,300
Area42,S45,65.929507,-101.134455,300
Area42,S46,51.376866,-70.129646,300
Area42,S47,68.354947,-85.632050,300
Area42,S48,44.100545,-81.202792,300
Area42,S49,51.376866,-123.280746,300
Area42,S50,70.780387,-92.275938,300
Area42,S51,46.525985,-83.417421,300
Area42,S52,51.376866,-78.988163,300
Area42,S53,56.227746,-123.280746,300
Area42,S54,61.078626,-118.851488,300
Area42,S55,46.525985,-74.558904,300
Area42,S56,48.951426,-90.061309,300
Area42,S57,51.376866,-114.422230,300
Area42,S58,51.376866,-105.563713,300
Area42,S59,51.376866,-61.271129,300
Area42,S60,53.802306,-112.207601,300
Area42,S61,53.802306,-76.773533,300
Area42,S62,58.653186,-76.773533,300
Area42,S63,61.078626,-132.139263,300
Area42,S64,61.078626,-109.992971,300
Area42,S65,63.504067,-94.490567,300
Area42,S66,73.131572,-78.860265,300
Area42,S67,75.058546,-94.866149,300
Area42,S68,75.617666,-88.677363,300
Area42,S69,49.043732,-57.566339,300
Area42,S70,49.043732,-53.860030,300
Area42,S71,64.350683,-83.854562,300
Area42,S72,71.632658,-83.767398,300
Area42,S73,66.781777,-70.891874,300
Area42,S74,69.207218,-74.110755,300
Area42,S75,64.356337,-67.672993,300
Area42,S76,66.781777,-64.454112,300
Area42,S77,73.299219,-94.033099,300
Area42,S78,76.642613,-119.623046,300
Area42,S79,53.338154,-132.380096,300
Area42,S80,78.649055,-103.102731,300
Area42,S81,49.611367,-125.962631,300
Area42,S82,73.327080,-121.856503,300
Area42,S83,75.632424,-110.767428,300
Area42,S84,70.960980,-108.269461,300
Area42,S85,70.960980,-115.691147,300
Area42,S86,72.693138,-99.361863,300
Area42,S87,75.959712,-99.790242,300
Area42,S88,79.831811,-92.320153,300
Area42,S89,81.029000,-78.014683,300
Area42,S90,78.603560,-84.800851,300
Area42,S91,67.639148,-75.938421,300
Area42,S92,69.422653,-97.375370,300
Area43,S1,-41.209157,146.354307,300
Area43,S2,-34.184877,145.414543,300
Area43,S3,-29.333996,118.684885,300
Area43,S4,-29.333996,126.703782,300
Area43,S5,-29.333996,134.722679,300
Area43,S6,-26.908556,141.405094,300
Area43,S7,-26.908556,149.423991,300
Area43,S8,-24.483116,121.357850,300
Area43,S9,-24.483116,129.376748,300
Area43,S10,-22.057676,138.732128,300
Area43,S11,-22.057676,146.751026,300
Area43,S12,-17.206795,133.386197,300
Area43,S13,-19.632236,126.703782,300
Area43,S14,-34.184877,140.068611,300
Area43,S15,-24.483116,116.011919,300
Area43,S16,-22.057676,133.386197,300
Area43,S17,-19.632236,142.741577,300
Area43,S18,-31.759436,149.423991,300
Area43,S19,-31.759436,122.694333,300
Area43,S20,-29.333996,142.741577,300
Area43,S21,-26.908556,136.059162,300
Area43,S22,-22.057676,122.694333,300
Area43,S23,-14.781355,142.741577,300
Area43,S24,-17.206795,128.040265,300
Area43,S25,-36.610317,144.078060,300
Area43,S26,-31.759436,117.348402,300
Area43,S27,-19.632236,137.395645,300
Area43,S28,-14.781355,132.049714,300
Area43,S29,-31.759436,136.059162,300
Area43,S30,-29.333996,132.049714,300
Area43,S31,-26.908556,125.367299,300
Area43,S32,-36.610317,149.423991,300
Area43,S33,-26.908556,144.078060,300
Area43,S34,-29.333996,150.760474,300
Area43,S35,-22.057676,117.348402,300
Area43,S36,-17.206795,122.694333,300
Area43,S37,-19.632236,129.376748,300
Area43,S38,-12.355915,133.386197,300
Area43,S39,-26.908556,117.348402,300
Area43,S40,-24.483116,142.741577,300
Area43,S41,-24.483116,150.760474,300
Area43,S42,-19.632236,145.414543,300
Area43,S43,-34.184877,118.684885,300
Area43,S44,-31.759436,146.751026,300
Area43,S45,-29.333996,137.395645,300
Area43,S46,-26.908556,130.713231,300
Area43,S47,-17.206795,136.059162,300
Area43,S48,-14.781355,126.703782,300
Area43,S49,-29.333996,121.357850,300
Area43,S50,-24.483116,124.030816,300
Area43,S51,-36.610317,141.405094,300
Area43,S52,-31.759436,125.367299,300
Area43,S53,-29.333996,116.011919,300
Area43,S54,-26.908556,152.096957,300
Area43,S55,-22.057676,120.021368,300
Area43,S56,-17.206795,144.078060,300
